Sr.No	PIC	Name of Dam	Operated & Maintained by	Latitude	Longitude	Year of Completion	River Basin	River	Neareast City	Seismic Zone	Dam Type	Height above Lowest Foundation Level	Dam Length	Volume Content of Dam	Gross Storage Capacity	Reservoir Area	Effective Storage Capacity	Purpose	Designed Spillway Capacity
215	KA06LH0218	Bharamasagara Doddakere	Karnataka Water Resources Department	14.3775	76.1975		Krishna	katte halla	Chitradurga	II	Earthfill_Embankment	12	1220	65880	4050000	1970000	3680000	I	219.76
129	KA06MH0131	Tegampur Tank	Karnataka Water Resources Department	18.23388889	77.4625	1982	Godavari	Local	aurad	II	Earthfill_Embankment	23.36	780	129890	4039000	860000	3636000	I/F	43.5
162	KA06MH0165	Gantenahalli Tank	Karnataka Water Resources Department	13.53583333	76.69777778	1987	Krishna	Suvarnamuki SS VI	C.N.Halli	II	Earthfill_Embankment	22.25	1020	210000	3990000	1096000	3600000	I	585.58
216	KA06LH0219	Bukkapatna Tank	Karnataka Water Resources Department	13.63194444	76.7475		Krishna	Suvarnamuki SS VI	Sira	II	Earthfill_Embankment	11.5	500	380000	3740000	1620000	3370000	I	67.94
179	KA06MH0182	Obichudanahally Tank	Karnataka Water Resources Department	12.80722222	77.52666667	1989	Cauvery	Arkavathy	Bangalore	II	Earthfill_Embankment	28.7	637	33040000	4670000	440000	3300000	I	81.46
184	KA06MH0187	Attiveri Tank	Karnataka Water Resources Department	15.0775	75.035	1991	West Flowing Rivers from Tapi to Tadri	Bedthi	Kalghatgi	II	Earthfill_Embankment	21.43	773.31	464000	4002000	400000	3210000	I	127.44
19	KA06LH0021	Doddaladahalli Tank	Karnataka Water Resources Department	12.41666667	77.37666667	1934	Cauvery	Arkavathy	Kanakapura	II	Earthfill_Embankment	14.95	330	14800	4353000		3190000	I	37
193	KA06MH0196	Iggalur Dam	Karnataka Water Resources Department	12.78166667	77.70416667	1996	Cauvery	Shimsha	Mandya	II	Other	11.27	1234	324630	5153000	1710000	3030000	I	5521
156	KA06MH0158	Hosahalli Tank	Karnataka Water Resources Department	12.02361111	77.09222222	1985	Cauvery	K.K.Halla	Yelandur	II	Earthfill_Embankment	16.76	868.68	436840	324000000	93070000	2940000	I	100.24
122	KA06MH0124	Seegehalla Tank	Karnataka Water Resources Department	13.93277778	75.38416667	1984	Krishna	Seegehalla	Shimoga	II	Earthfill_Embankment	16.5	660	162330	3000000	600000	2900000	I	84.50
