Sr.No	PIC	Name of Dam	Latitude	Longitude	Year of Completion	River Basin	River	Neareast City	Seismic Zone	Dam Type	Height above Lowest Foundation Level	Dam Length	Volume Content of Dam	Gross Storage Capacity	Reservoir Area	Effective Storage Capacity	Purpose	Designed Spillway Capacity
1070	MH09MH1082	DIVALE	18.26333333	73.92333333	1985	Krishna	Gunjawani	Purandar	III	Earthfill_Embankment	20.83	490	223000	2140000	393000	2000000	I	273.00
1080	MH09MH1092	KHANDPE	19.3025	73.46138889	1985	West Flowing Rivers from Tapi to Tadri	Local Nala	Murbad	III	Earthfill_Embankment	20.29	186	72000	2059000	271000	2000000	I	696
1170	MH09LH1183	BORDA	19.98027778	78.83222222	1988	Godavari	Local Nalla	Wani	II	Earthfill_Embankment	12.41	759	130000	2080000	505000	2000000	I	101.00
472	MH09MH0478	SONDO	19.64944444	79.25444444	1975	Godavari	Sondo Nalla	Rajura	III	Earthfill_Embankment	29.26	750	380000	2149000	700000	1998000	I	174.60
973	MH09LH0985	KINI	19.25166667	77.7975	1983	Godavari	Local Nalla	Bhokar	II	Earthfill_Embankment	11.43	1003.00	138000	2187000	970000	1996000	I	394.00
298	MH09MH0300	TANDULWADI (Palam)	18.85027778	76.94055556	1972	Godavari	Local Nalla	Palam	II	Earthfill_Embankment	16.6	493	181000	2257000	358000	1994000	I	435.00
1058	MH09LH1070	CHORBAHULI	21.4725	79.32833333	1985	Godavari	Local Nalla	Ramtek	II	Earthfill_Embankment	12.22	1029	122000	2079000	65000	1994000	I	139.95
1952	MH09LH1991	Bangaon	20.41611111	74.06666667	2002	Tapi	Local Nalla	Chalisgaon	III	Earthfill_Embankment	14.00	2910	124750	2216000	1010000	1993000	I	722.52
774	MH09MH0782	VEJEGAON	17.37861111	74.62166667	1979	Krishna	Local Nalla	Khanapur.	III	Earthfill_Embankment	16.77	811.00	202000	2222000	540000	1992000	I	426.00
69	MH09MH0069	VELHALE	20.99555556	75.87	1955	Tapi	Datapadi	Bhusawal	II	Earthfill_Embankment	16.24	446	240000	1990000	704400	1990000	I	264
179	MH09MH0180	MUNJALA	20.18111111	78.64166667	1969	Godavari	Local Nalla	Kelapur	II	Earthfill_Embankment	16	665	175000	2120000	684500	1990000	I	230
207	MH09MH0209	GARKHED	19.89333333	76.2275	1970	Godavari	Local Nalla	Shindkhed Raja	II	Earthfill_Embankment	16.19	472	181000	2260000	413000	1990000	I	323
702	MH09LH0709	DIGHOL	18.65527778	76.28055556	1978	Godavari	Local Nalla	Ambajogai	II	Earthfill_Embankment	11.14	1460	183000	2231000	770000	1990000	I	372
2301	MH09LH2340	Karadgaon K.T. Weir	19.67027778	76.04472222		Godavari	Dudhana	Ghansawargi	IV	Earthfill_Embankment	14.40	130		1989000		1989000		
2308	MH09LH2347	Dhapgalwad	20.56111111	75.27694444		Tapi	Local Nalla	Soyegaon	IV	Earthfill_Embankment	12.75	1421		2232000		1988000		
2237	MH09MH2276	Kawalwadi	18.78	76.78083333	2008	Godavari	Local Nalla	Ahmedpur	III	Earthfill_Embankment	17	262	119620	2162000	3811000	1987000	I	193
2272	MH09MH2311	Bemblewadi	19.725	75.48333333		Godavari	Local Nalla	Aurangabad	IV	Earthfill_Embankment	28.30	1773		2379000		1986000		
422	MH09MH0425	PIMPRI	18.42166667	77.12722222	1974	Godavari	Pimpri	Udgir	II	Earthfill_Embankment	16.5	750	172000	2195000	455000	1984000	I	341.00
1373	MH09MH1387	HARDKHALE	16.82083333	73.67444444	1996	West Flowing Rivers from Tapi to Tadri	Local Nala	Lanja	III	Earthfill_Embankment	23.3	377	397900	2053000	326200	1984000	I	115
